업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,업태명
일반음식점,2011-09-15,옥주네삼겹살동태탕,"서울특별시 중랑구 사가정로31길 65, 1층 (면목동)",서울특별시 중랑구 면목동 161-6 ,20.1,한식
일반음식점,2011-09-19,고향맛집,"서울특별시 중랑구 용마산로94길 16 (면목동,1층)",서울특별시 중랑구 면목동 14-26 1층 ,30.24,한식
일반음식점,2011-09-20,본죽&비빔밥,"서울특별시 중랑구 신내로16길 17, 101호 (신내동)",서울특별시 중랑구 신내동 315-3 ,52.89,한식
일반음식점,2011-09-21,신야채곱창,"서울특별시 중랑구 망우로73길 34 (망우동,1층)",서울특별시 중랑구 망우동 342-6 1층 ,26,정종/대포집/소주방
일반음식점,2011-09-22,초이양꼬치쌀국수,"서울특별시 중랑구 봉우재로33길 48 (상봉동,2층)",서울특별시 중랑구 상봉동 105-9 2층 ,74.4,호프/통닭
일반음식점,2011-09-26,흥부골숯불돼지왕갈비,"서울특별시 중랑구 면목로 341 (면목동,1층)",서울특별시 중랑구 면목동 497-7 1층 ,287.74,한식
일반음식점,2011-10-10,굽다 503.15,"서울특별시 중랑구 망우로32길 20 (상봉동,1층)",서울특별시 중랑구 상봉동 130-5 1층 ,45.61,한식
일반음식점,2011-10-26,박씨물고온제비,"서울특별시 중랑구 망우로 326 (상봉동,1층)",서울특별시 중랑구 상봉동 91-1 1층 ,122.43,정종/대포집/소주방
일반음식점,2011-10-26,692대구막창,"서울특별시 중랑구 용마산로129길 30 (신내동,1층)",서울특별시 중랑구 신내동 412-7 1층 ,51.66,분식
일반음식점,2011-11-01,林가네찌개,"서울특별시 중랑구 용마산로 480 (망우동, 1층)",서울특별시 중랑구 망우동 411-3 ,85.95,한식
일반음식점,2011-11-04,종로빈대떡,서울특별시 중랑구 망우로30길 8 (상봉동),서울특별시 중랑구 상봉동 136-50 ,28.8,정종/대포집/소주방
일반음식점,2011-11-04,알로하베베,서울특별시 중랑구 망우로 305 (상봉동),서울특별시 중랑구 상봉동 100-7 ,190.69,키즈카페
일반음식점,2011-11-07,호치킨 상봉역점,서울특별시 중랑구 봉우재로33길 31 (상봉동),서울특별시 중랑구 상봉동 104-101 ,49.3,한식
일반음식점,2011-11-09,녹원양꼬치,서울특별시 중랑구 용마산로115길 65 (망우동),서울특별시 중랑구 망우동 491-38 ,57.85,한식
일반음식점,2011-11-10,오케바리,"서울특별시 중랑구 망우로71길 44 (망우동, 1층)",서울특별시 중랑구 망우동 344-41 ,26.52,호프/통닭
일반음식점,2011-11-17,여기야,"서울특별시 중랑구 중랑역로 167 (묵동, 1층)",서울특별시 중랑구 묵동 243-26 ,36,한식
일반음식점,2011-11-21,압구정 봉구비어,"서울특별시 중랑구 동일로139길 5 (중화동, 1층)",서울특별시 중랑구 중화동 305-58 ,45,한식
일반음식점,2011-11-22,정윤칼국수,서울특별시 중랑구 겸재로15길 35 (면목동),서울특별시 중랑구 면목동 141-14 ,23.14,한식
일반음식점,2011-11-22,우림,"서울특별시 중랑구 용마산로115길 71 (망우동, 지하1층)",서울특별시 중랑구 망우동 491-37 ,102.3,호프/통닭
일반음식점,2011-11-23,국수한그릇,"서울특별시 중랑구 중랑역로 127 (중화동, 1층)",서울특별시 중랑구 중화동 308-93 ,23,분식
일반음식점,2011-11-25,신가돈까스,"서울특별시 중랑구 상봉중앙로1다길 63, 1층 (상봉동)",서울특별시 중랑구 상봉동 279-100 ,43,경양식
일반음식점,2011-12-06,은성정육식당,"서울특별시 중랑구 겸재로 115, 1층 (면목동)",서울특별시 중랑구 면목동 147-6 ,99.54,한식
일반음식점,2011-12-08,중국성,서울특별시 중랑구 망우로42길 7 (상봉동),서울특별시 중랑구 상봉동 115-23 ,132,중국식
일반음식점,2011-12-08,투다리,"서울특별시 중랑구 신내로 225, 158호 (신내동, 디아뜨갤러리)",서울특별시 중랑구 신내동 648 ,42.9,정종/대포집/소주방
일반음식점,2011-12-08,대원집,"서울특별시 중랑구 중랑역로 270, 1,2층 (묵동)",서울특별시 중랑구 묵동 163-13 ,112,한식
일반음식점,2011-12-12,낙지플러스,"서울특별시 중랑구 봉화산로 194, 비20,21,22호 (신내동, 신아타운)",서울특별시 중랑구 신내동 666 ,59.4,한식
일반음식점,2011-12-14,쭈꾸미신사,"서울특별시 중랑구 중랑천로12길 60, 1층 (상봉동)",서울특별시 중랑구 상봉동 130-12 ,36,한식
일반음식점,2011-12-15,소렌토,"서울특별시 중랑구 동일로 932, 202호 (묵동, 묵동자이2단지)",서울특별시 중랑구 묵동 170-1 ,84.56,경양식
일반음식점,2011-12-16,바얀불락,"서울특별시 중랑구 면목로48길 20, 지하1층 (면목동)",서울특별시 중랑구 면목동 461-31 ,59.5,호프/통닭
일반음식점,2011-12-21,돈돼지,"서울특별시 중랑구 망우로30길 47 (면목동, 1층)",서울특별시 중랑구 면목동 185-66 ,47.05,한식
일반음식점,2011-12-22,늘솜이층집,"서울특별시 중랑구 봉화산로54길 36, 씨동 2층 (신내동)",서울특별시 중랑구 신내동 409-4 ,122.31,호프/통닭
일반음식점,2011-12-22,마장곱창,"서울특별시 중랑구 동일로96길 20, 1층 7호 (면목동)",서울특별시 중랑구 면목동 160-1 ,15.74,정종/대포집/소주방
일반음식점,2011-12-26,소중한식당,"서울특별시 중랑구 용마산로115길 109, S2005호 (망우동, 한일써너스빌리젠시2단지)",서울특별시 중랑구 망우동 495 ,42.76,기타
일반음식점,2011-05-16,고냉고떡 중화점,"서울특별시 중랑구 동일로123길 87, 1층 (중화동)",서울특별시 중랑구 중화동 317-65 ,66,한식
일반음식점,2012-01-09,여기어때,"서울특별시 중랑구 면목로55길 16, 1층 (면목동)",서울특별시 중랑구 면목동 501-15 ,22,한식
일반음식점,2012-01-27,챠이쿡,"서울특별시 중랑구 용마산로 248, 비01호 (면목동, 재경빌딩)",서울특별시 중랑구 면목동 1502-2 재경빌딩 비01호,35.02,중국식
