시군명,상호명,업종명,소재지(도로명주소),우편번호,위도,경도,데이터기준일자
의정부시,가능마차식당,일반휴게음식-일반한식,경기도 의정부시 의정로174번길 33,11681,,,2020-09-04
의정부시,가능부대찌개,일반휴게음식-일반한식,경기도 의정부시 신촌로29번길 171 ,11676,,,2020-09-04
의정부시,가능솔밭갈비,일반휴게음식-일반한식,경기도 의정부시 의정로 166,11681,,,2020-09-04
의정부시,가능야식,일반휴게음식-일반한식,경기도 의정부시 가능로119번길 17,11678,,,2020-09-04
의정부시,가능역토굽사,일반휴게음식-스넥,경기도 의정부시 신흥로 358-1,11678,37.74815,127.042821,2020-09-04
의정부시,가능전통순대국,일반휴게음식-일반한식,경기도 의정부시 호국로 1107,11658,37.743073,127.026708,2020-09-04
의정부시,가능치킨,일반휴게음식-주점,경기도 의정부시 신촌로84번길 37,11686,,,2020-09-04
의정부시,가능푸드,일반휴게음식-일반한식,경기도 의정부시 의정로 182-19 ,11681,37.749257,127.034872,2020-09-04
의정부시,가능호프,일반휴게음식-일반한식,경기도 의정부시 신흥로354번길 11 ,11678,,,2020-09-04
의정부시,가마골뼈다귀감자탕,일반휴게음식-일반한식,경기도 의정부시 호국로1123번길 4,11658,,,2020-09-04
의정부시,가마로강정 (망월사역점),일반휴게음식-스넥,경기도 의정부시 평화로 190,11712,37.708686,127.04821,2020-09-04
의정부시,가마로강정 민락점,일반휴게음식-일반한식,경기도 의정부시 오목로225번길 147,11813,37.745237,127.095647,2020-09-04
의정부시,가마솥나주곰탕,일반휴게음식-일반한식,경기도 의정부시 산단로76번길 93,11787,37.743176,127.083066,2020-09-04
의정부시,가마솥영천통닭,일반휴게음식-일반한식,경기도 의정부시 둔야로 42 ,11674,37.739574,127.039799,2020-09-04
의정부시,가마솥옛날통닭,일반휴게음식-스넥,경기도 의정부시 하금로 6,11760,37.75131,127.061174,2020-09-04
의정부시,가마치 치킨,일반휴게음식-스넥,경기도 의정부시 발곡로 22,11730,,,2020-09-04
의정부시,가마치치킨,일반휴게음식-스넥,경기도 의정부시 체육로 298-13,11610,37.76055,127.040898,2020-09-04
의정부시,가마치통닭 (신시가지점),일반휴게음식-스넥,경기도 의정부시 범골로 67,11629,,,2020-09-04
의정부시,가마치통닭 민락점,일반휴게음식-스넥,경기도 의정부시 용민로 243,11769,,,2020-09-04
의정부시,가마치통닭 용현점,일반휴게음식-스넥,경기도 의정부시 용민로 55,11785,37.736714,127.084541,2020-09-04
의정부시,가마치통닭 캐슬점,일반휴게음식-스넥,경기도 의정부시 용민로 419,11815,,,2020-09-04
의정부시,가마치통닭 호원점,일반휴게음식-일반한식,경기도 의정부시 평화로 156,11715,37.705515,127.0484,2020-09-04
의정부시,가보자 횟집,일반휴게음식-일반한식,경기도 의정부시 시민로121번길 82,11692,37.741624,127.05076,2020-09-04
의정부시,가비감자탕,일반휴게음식-일반한식,경기도 의정부시 동일로466번길 48 ,11738,37.72879,127.061403,2020-09-04
의정부시,가윤식당,일반휴게음식-일반한식,경기도 의정부시 금신로296번길 17,11778,,,2020-09-04
의정부시,가을이네생고기전문점,일반휴게음식-일반한식,경기도 의정부시 금오로 106,11755,37.75635,127.076869,2020-09-04
의정부시,가이아 커피,일반휴게음식-서양음식,경기도 의정부시 시민로 80,11651,,,2020-09-04
의정부시,가인,일반휴게음식-서양음식,경기도 의정부시 청사로 49,11757,37.752571,127.069376,2020-09-04
의정부시,가장 따뜻한 색 블루,일반휴게음식-서양음식,경기도 의정부시 추동로108번길 40,11779,37.746893,127.067272,2020-09-04
의정부시,가장맛있는족발,일반휴게음식-일반한식,경기도 의정부시 둔야로16 ,11650,37.737295,127.039957,2020-09-04
의정부시,가장맛있는족발,일반휴게음식-일반한식,경기도 의정부시 부용로 105,11757,,,2020-09-04
의정부시,가장맛있는족발 (녹양점),일반휴게음식-일반한식,경기도 의정부시 진등로 14,11608,37.759235,127.032705,2020-09-04
의정부시,가장맛있는족발 (민락점),일반휴게음식-일반한식,경기도 의정부시 오목로225번길 30,11813,37.746685,127.098271,2020-09-04
의정부시,가장맛있는족발 (회룡점),일반휴게음식-일반한식,경기도 의정부시 외미로 92-5,11638,,,2020-09-04
의정부시,가장맛있는족발(가족),일반휴게음식-일반한식,경기도 의정부시 평화로 203,11711,37.710088,127.047694,2020-09-04
의정부시,가재울 바켄,일반휴게음식-일반한식,경기도 의정부시 가능로125번길 12,11686,37.747654,127.045078,2020-09-04
의정부시,가재울먹방,일반휴게음식-일반한식,경기도 의정부시 태평로 220-1,11687,,,2020-09-04
의정부시,가재울식당,일반휴게음식-일반한식,경기도 의정부시 신흥로 364-1,11678,37.748736,127.042765,2020-09-04
의정부시,가정식백반,일반휴게음식-일반한식,경기도 의정부시 용민로 20,11790,37.734917,127.081362,2020-09-04
의정부시,가즈아! 곱도리,일반휴게음식-일반한식,경기도 의정부시 능곡로26번길 35,11747,37.740362,127.061567,2020-09-04
의정부시,가츠마시따,일반휴게음식-서양음식,경기도 의정부시 오목로205번길 42,11813,37.745822,127.096703,2020-09-04
의정부시,가츠마시따,일반휴게음식-서양음식,경기도 의정부시 시민로121번길26-4 ,11695,37.739372,127.049204,2020-09-04
의정부시,가츠야 우동,일반휴게음식-스넥,경기도 의정부시 체육로 306-14,11610,37.760124,127.041398,2020-09-04
의정부시,가평 선지해장국,일반휴게음식-일반한식,경기도 의정부시 가능로 100,11663,37.746716,127.042032,2020-09-04
의정부시,가평집,일반휴게음식-스넥,경기도 의정부시 태평로73번길 20,11695,,,2020-09-04
의정부시,간이역,일반휴게음식-일반한식,경기도 의정부시 동일로472번길 10,11738,37.730241,127.059623,2020-09-04
의정부시,간이역,일반휴게음식-일반한식,경기도 의정부시 의정로 190,11681,37.749648,127.034516,2020-09-04
의정부시,간판없는삼결살,일반휴게음식-주점,경기도 의정부시 부용로214번길 14,11773,,,2020-09-04
의정부시,갈비끼리,일반휴게음식-일반한식,경기도 의정부시 평화로542번길 7-16,11695,37.741013,127.047844,2020-09-04
의정부시,"갈비찜닭,숯불고기냉면",일반휴게음식-일반한식,경기도 의정부시 용현로120번길 29,11809,37.7399,127.088981,2020-09-04
의정부시,갈비퐁당,일반휴게음식-일반한식,경기도 의정부시 시민로122번길 9-26,11697,37.737471,127.049705,2020-09-04
의정부시,감미식당,일반휴게음식-일반한식,경기도 의정부시 시민로121번길33,11695,37.739823,127.049102,2020-09-04
의정부시,감성되야지,일반휴게음식-일반한식,경기도 의정부시 태평로63번길 26,11695,37.738462,127.050179,2020-09-04
의정부시,감성식닭,일반휴게음식-일반한식,경기도 의정부시 범골로98번길 7,11625,37.733671,127.038944,2020-09-04
의정부시,감성커피(신곡동백병원점),일반휴게음식-서양음식,경기도 의정부시 금신로 323,11741,37.744764,127.061348,2020-09-04
의정부시,감성포차,일반휴게음식-주점,경기도 의정부시 신촌로 5,11676,37.750711,127.040452,2020-09-04
의정부시,감탄 망월사역점,일반휴게음식-스넥,경기도 의정부시 평화로 219,11711,37.711263,127.047327,2020-09-04
의정부시,감탄(녹양점),일반휴게음식-스넥,경기도 의정부시 비우로 89,11612,,,2020-09-04
의정부시,감탄떡볶이,일반휴게음식-스넥,경기도 의정부시 발곡로 10,11729,37.730964,127.055653,2020-09-04
의정부시,감탄떡볶이(가능점),일반휴게음식-일반한식,경기도 의정부시 신촌로 15,11676,37.750405,127.035958,2020-09-04
의정부시,감탄호원점,일반휴게음식-스넥,경기도 의정부시 호동로 67,11631,37.727851,127.043242,2020-09-04
의정부시,갑빠맨 조리실,일반휴게음식-일반한식,경기도 의정부시 송양로 93,11812,37.750617,127.116078,2020-09-04
의정부시,갑오정육점식당,일반휴게음식-일반한식,경기도 의정부시 시민로158번길 22,11698,,,2020-09-04
의정부시,강'S 차이나/(주)일진,일반휴게음식-중국식,경기도 의정부시 시민로19번길 30-6,11673,37.739404,127.036963,2020-09-04
의정부시,강가푸드,일반휴게음식-일반한식,경기도 의정부시 추동로108번길 17 ,11779,37.747209,127.066536,2020-09-04
의정부시,강경불고기 의정부점,일반휴게음식-일반한식,경기도 의정부시 시민로121번길 39-1,11695,37.740185,127.049247,2020-09-04
의정부시,강경불고기&요가파이어,일반휴게음식-일반한식,경기도 의정부시 용현로150번길 7,11808,37.740342,127.092583,2020-09-04
의정부시,강경불고기장암본점,일반휴게음식-일반한식,경기도 의정부시 서계로 91,11723,37.706093,127.054952,2020-09-04
의정부시,강남,일반휴게음식-일반한식,경기도 의정부시 녹양로186번길 81,11603,37.765765,127.03946,2020-09-04
의정부시,강남동태탕,일반휴게음식-일반한식,경기도 의정부시 신흥로222번길 5-12,11651,37.736239,127.043984,2020-09-04
의정부시,강남돼지,일반휴게음식-일반한식,경기도 의정부시 경의로75번길 34,11652,,,2020-09-04
의정부시,강남포차,일반휴게음식-일반한식,경기도 의정부시 가능로125번길 26,11686,,,2020-09-04
의정부시,강남포차,일반휴게음식-주점,경기도 의정부시 청사로47번길 15,11757,37.752234,127.068976,2020-09-04
의정부시,강남포차,일반휴게음식-주점,경기도 의정부시 청사로47번길 15,11757,37.752234,127.068976,2020-09-04
의정부시,강남호프,일반휴게음식-주점,경기도 의정부시 둔야로 41 ,11673,37.739457,127.039436,2020-09-04
의정부시,강명수아저씨네,일반휴게음식-일반한식,경기도 의정부시 신촌로29번길 43,11676,,,2020-09-04
의정부시,강셰프맛집,일반휴게음식-일반한식,경기도 의정부시 망월로28번길 33 ,11645,37.706661,127.043514,2020-09-04
의정부시,강원도,일반휴게음식-일반한식,경기도 의정부시 둔야로33번길 44,11673,37.738968,127.037254,2020-09-04
의정부시,강원식당,일반휴게음식-일반한식,경기도 의정부시 태평로146번길 8,11688,,,2020-09-04
의정부시,강원식당,일반휴게음식-일반한식,경기도 의정부시 녹양로62번길 41,11613,37.756432,127.034928,2020-09-04
의정부시,강정구의 피자생각,일반휴게음식-서양음식,경기도 의정부시 평화로 220,11710,,,2020-09-04
의정부시,강정구의 피자생각,일반휴게음식-서양음식,경기도 의정부시 금오로 100,11755,37.756207,127.076233,2020-09-04
의정부시,강천칡냉면,일반휴게음식-일반한식,경기도 의정부시 능곡로 56,11746,37.742484,127.061573,2020-09-04
의정부시,강촌화로숯불구이,일반휴게음식-일반한식,경기도 의정부시 청사로 45,11757,37.752156,127.069546,2020-09-04
의정부시,강화통통생고기 의정부점/주식회사 강통에,일반휴게음식-일반한식,경기도 의정부시 신흥로239번길 49-3,11650,37.737391,127.040414,2020-09-04
의정부시,개나리,일반휴게음식-서양음식,경기도 의정부시 평화로562번길 47-10,11692,37.742646,127.049997,2020-09-04
의정부시,개미와 베짱이,일반휴게음식-일반한식,경기도 의정부시 신촌로5번길 10-55 ,11676,,,2020-09-04
의정부시,개미집 의정부점,일반휴게음식-일반한식,경기도 의정부시 호국로1298번길 60 ,11695,,,2020-09-04
의정부시,개성보쌈,일반휴게음식-일반한식,경기도 의정부시 신촌로5번길 10-51,11676,,,2020-09-04
의정부시,개성손만두 요리전문점,일반휴게음식-일반한식,경기도 의정부시 회룡로 188,11718,,,2020-09-04
의정부시,개성집,일반휴게음식-일반한식,경기도 의정부시 범골로 155 ,11650,,,2020-09-04
의정부시,갤러리,일반휴게음식-일반한식,경기도 의정부시 범골로145번길 16,11650,37.736573,127.041511,2020-09-04
의정부시,거래처,일반휴게음식-일반한식,경기도 의정부시 오목로 136,11807,37.739436,127.094766,2020-09-04
의정부시,거북식당,일반휴게음식-일반한식,경기도 의정부시 호국로1331번길 31,11688,37.745372,127.051148,2020-09-04
